1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
352:COR:NodeUtil.hasCatchHandler(s):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):992:NodeUtil.hasCatchHandler(s) |==> false
353:COR:NodeUtil.hasCatchHandler(s):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):992:NodeUtil.hasCatchHandler(s) |==> true
354:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph@<init>(com.google.javascript.rhino.Node,java.util.Map<com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,java.lang.Integer>,boolean):1017:true |==> false
355:COR:isForward:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph@getOptionalNodeComparator(boolean):1029:isForward |==> false
356:COR:isForward:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph@getOptionalNodeComparator(boolean):1029:isForward |==> true
357:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1034:getPosition(n1) - getPosition(n2) |==> getPosition(n1) % getPosition(n2)
358:AOR:-(int,int):*(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1034:getPosition(n1) - getPosition(n2) |==> getPosition(n1) * getPosition(n2)
359:AOR:-(int,int):+(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1034:getPosition(n1) - getPosition(n2) |==> getPosition(n1) + getPosition(n2)
360:AOR:-(int,int):/(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1034:getPosition(n1) - getPosition(n2) |==> getPosition(n1) / getPosition(n2)
361:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$2@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1042:getPosition(n2) - getPosition(n1) |==> getPosition(n2) % getPosition(n1)
362:AOR:-(int,int):*(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$2@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1042:getPosition(n2) - getPosition(n1) |==> getPosition(n2) * getPosition(n1)
363:AOR:-(int,int):+(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$2@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1042:getPosition(n2) - getPosition(n1) |==> getPosition(n2) + getPosition(n1)
364:AOR:-(int,int):/(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph$2@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1042:getPosition(n2) - getPosition(n1) |==> getPosition(n2) / getPosition(n1)
365:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph@getPosition(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):1054:Preconditions.checkNotNull(priority) |==> <NO-OP>
